File Name,Hearing Date,Decision Date,Case Number,Address,Type,Section,Description,Decision,OCR Flag
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,904.07.C.3/91,2.04.C | 10’ interior side yard setback required; 6’ proposed.,"Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,912.04.B,5’ rear setback required; 0’ proposed.,"Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,912.04.B,44 trees required in parking lot; 8 trees proposed,"Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,918.02.B,"6,600 sq.ft. landscaping required; 2,875 sq.ft: proposed.","Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,918.02.B,"Parking in riparian buffer zone, 125’ setback required;","Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,RIV 905.4.E.4,"46.99"" proposed.","Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,RIV 905.4.1.2.a,Surface parking limited to 75 spaces; 189 proposed.,"Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,RIV 905.4.1.2.a,No more than 15 surface parking spaces permitted,"Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St",Variance,RIV 905.4.1.2.b,between building/street and riverfront; 189 spaces proposed,"Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
1 Alger Street - 153 of 2023.pdf,"October 12, 2023 (Virtual Hearing)","November 16, 2023",153 of 2023,1 Alger Street,Variance, Section 919.03.N.2.a,"12 sf maximum sign area permitted, 60 sf requested",Decision: The Applicant’s request for a variance from Section 919.03.N.2.a to allow forthe installation of a 60 sf ground sign is hereby APPROVED.,False
1 ALLEGHENY AVE - 092-17.pdf,"March 16, 2017","May 11, 2017","o. 48 of 2001, this Board approved a variance to allow the Science Center to install the sign",1 Allegheny Avenue,Variance, | 919.03.M.7,200 sf and 295 sf requested (sign 2) WITHDRAWN,Decision: The Applicant’s request for variances from Code Sections 919.03.M.7 and919.01.E.6 is hereby APPROVED.,True
1 ALLEGHENY AVE - 092-17.pdf,"March 16, 2017","May 11, 2017","o. 48 of 2001, this Board approved a variance to allow the Science Center to install the sign",1 Allegheny Avenue,Variance, | 919.03.M.7,"708 sf and 2,371 sf requested (sign 3) WITHDRAWN",Decision: The Applicant’s request for variances from Code Sections 919.03.M.7 and919.01.E.6 is hereby APPROVED.,True
1 ALLEGHENY AVE - 092-17.pdf,"March 16, 2017","May 11, 2017","o. 48 of 2001, this Board approved a variance to allow the Science Center to install the sign",1 Allegheny Avenue,Variance, | 919.03.M.7,"Signage above the roof line or parapet wall not permitted, 8'10”",Decision: The Applicant’s request for variances from Code Sections 919.03.M.7 and919.01.E.6 is hereby APPROVED.,True
1 ALLEGHENY AVE - 092-17.pdf,"March 16, 2017","May 11, 2017","o. 48 of 2001, this Board approved a variance to allow the Science Center to install the sign",1 Allegheny Avenue,Variance:,| 919.01.6.6,above the parapet proposed,Decision: The Applicant’s request for variances from Code Sections 919.03.M.7 and919.01.E.6 is hereby APPROVED.,True
1 ALLEGHENY AVE - 7-M-500 - ZBA CASE 241-19.pdf,"November 21, 2019","‘January 3, 2020",241 of 2019,1 Allegheny Avenue,Variance, | 919.03.M.7,area of 600 sf each) requested,"Decision: The Applicant's request for variances from Code Section 919.03.M.7 are DENIEDand variances from Section 919.05 are APPROVED, subject to the followingconditions:° No more than two banner signs are permitted for the entrance fagade;° The area of each sign shall not exceed 15’ by 40’ (600 sf);¢ Thesigns shall be mounted below the height of the existing buildingidentification sign; .. The signs shall be permitted only for temporary exhibits at theCarnegie Science Center;° Any sponsorship logos or trademarks are to cover no more than 15%of the sign face;° No banner signs shall be permitted for periods of time when notemporary exhibit is on display; ande The variances from the temporary event sign requirements shallremain in place for 18 months from the date of this decision.a) Ib afoulro"" 7 ane B. Mitinger, ChairQO|LaShawn Burton-Faulk fee. John J. Richardson iy",True
1 ALLEGHENY AVE - 7-M-500 - ZBA CASE 241-19.pdf,"November 21, 2019","‘January 3, 2020",241 of 2019,1 Allegheny Avenue,Variance, | 919.03.M.7,‘Maximum height 40’ above grade permitted; up to 73' above grade requested,"Decision: The Applicant's request for variances from Code Section 919.03.M.7 are DENIEDand variances from Section 919.05 are APPROVED, subject to the followingconditions:° No more than two banner signs are permitted for the entrance fagade;° The area of each sign shall not exceed 15’ by 40’ (600 sf);¢ Thesigns shall be mounted below the height of the existing buildingidentification sign; .. The signs shall be permitted only for temporary exhibits at theCarnegie Science Center;° Any sponsorship logos or trademarks are to cover no more than 15%of the sign face;° No banner signs shall be permitted for periods of time when notemporary exhibit is on display; ande The variances from the temporary event sign requirements shallremain in place for 18 months from the date of this decision.a) Ib afoulro"" 7 ane B. Mitinger, ChairQO|LaShawn Burton-Faulk fee. John J. Richardson iy",True
1 Allegheny Ave.pdf,"March 16, 2017","May 11, 2017","o. 48 of 2001, this Board approved a variance to allow the Science Center to install the sign",14 Allegheny Avenue,Variance, | 919.03.M.7,200 sf and 295 sf requested (sign 2) WITHDRAWN,Decision: The Applicant’s request for variances from Code Sections 919.03.M.7 and919.01.E.6 is hereby APPROVED.,True
1 Allegheny Ave.pdf,"March 16, 2017","May 11, 2017","o. 48 of 2001, this Board approved a variance to allow the Science Center to install the sign",14 Allegheny Avenue,Variance, | 919.03.M.7,"708 sf and 2,371 sf requested (sign 3) WITHDRAWN",Decision: The Applicant’s request for variances from Code Sections 919.03.M.7 and919.01.E.6 is hereby APPROVED.,True
1 ALLEGHENY CTR 318-2015.pdf,"December 10, 2015","January 21, 2016",,,None found,None found,None found,"Decision: The Applicant's request for variances from Code Sections 919.03.M.5(a), 919.01.E.6,921.03.F.2, and 919.03.03 is hereby APPROVED.J . Richardsonhawn Burton-Faulk",True
1 VIRGINIA AVE 003-14.pdf,"January 9, 2014.","January 30, 2014",3 of 2014,1 Virginia Ave,Special Exception, 911.04.A.65 —,Use of service station in LNC zoning district is a special exception .,"Decision: Applicant’s requests are APPROVED IN PART and DENIED IN PART:Applicant’s request for a Special Exception under Code Section 911.04.4.65 and aVariance from Code Section 916.02.A.5(b) is hereby APPROVED;Applicant's request for a Variance from Code Section 918.02.C, a request forareduction of required street trees, is hereby DENIED.Vrerina/L.",True
1 VIRGINIA AVE 003-14.pdf,"January 9, 2014.","January 30, 2014",3 of 2014,1 Virginia Ave,Variance,916.02.A.5(b),Minimum 15ft street side yard setback required and 8&ft requested,"Decision: Applicant’s requests are APPROVED IN PART and DENIED IN PART:Applicant’s request for a Special Exception under Code Section 911.04.4.65 and aVariance from Code Section 916.02.A.5(b) is hereby APPROVED;Applicant's request for a Variance from Code Section 918.02.C, a request forareduction of required street trees, is hereby DENIED.Vrerina/L.",True
10 VIRGINIA AVE- 036-18.pdf,"February 15, 2018","April 5, 2018",o. 303 of 2015.,10 Virginia Avenue,Special Exception, 911.04.A.57,Expansion of the use as restaurant (general),"Decision: The Applicant's request for special exceptions pursuant to Code Sections911.04.A.57 and 914.07.G.2(a) is hereby APPROVED, subject to the condition that theApplicant shall submit a recorded lease for the off-site parking spaces.2",False
10 VIRGINIA AVE- 036-18.pdf,"February 15, 2018","April 5, 2018",o. 303 of 2015.,10 Virginia Avenue,Special Exception,914.07.G.2(a),Off-site parking is a Special Exception,"Decision: The Applicant's request for special exceptions pursuant to Code Sections911.04.A.57 and 914.07.G.2(a) is hereby APPROVED, subject to the condition that theApplicant shall submit a recorded lease for the off-site parking spaces.2",False
10 Wood Street - 120 of 2023.pdf,"August 17, 2023 (Virtual Hearing)","October 12, 2023",120 of 2023,10 Wood Street,Variance, Section 919.03.O.3,"Electronic non-advertising signs are not permitted in GT- C District, two 25 sf electronic non-advertising signs proposed","Decision: The Applicant’s request for a use variance to allow an “electronic non-advertising” sign, with no operational limitations, is DENIED. The protestappeal from the Zoning Administrator’s determination that the Ticker Sign isnot a “convenience information sign” and the request for a dimensionalvariance to allow two 25 sf panels/50sf Ticker Sign are also DENIED.",False
10 Wood Street - 120 of 2023.pdf,"August 17, 2023 (Virtual Hearing)","October 12, 2023",120 of 2023,10 Wood Street,Protest Appeal/Variance,Section 919.03.I,Appeal from the Zoning Administrator’s Determination that proposed sign is not a “convenience information sign” and request for a variance from the 18 sf area limitation for each of the two 25 sf panels proposed,"Decision: The Applicant’s request for a use variance to allow an “electronic non-advertising” sign, with no operational limitations, is DENIED. The protestappeal from the Zoning Administrator’s determination that the Ticker Sign isnot a “convenience information sign” and the request for a dimensionalvariance to allow two 25 sf panels/50sf Ticker Sign are also DENIED.",False
100 32ND ST - 020-2016.pdf,"February 4, 2016","March 3, 2016",20 of 2016,,Special Exception, 914.07.G.2(a) |,F oo . . Off-site parking is a Special Exception,"Decision: The Applicant's request for Special Exception to allow off-site parking pursuant toSection 914.07.G.2 is hereby APPROVED, subject to the condition that theApplicant shall submit a revised and recorded lease which shall include referenceto the 28 bicycle parking spaces.John ‘i Richardso",True
100 Art Rooney Ave - 079-18.pdf,"April 5, 2018","July 12, 2018",79 of 2018,10 0 Art Rooney Ave,Variance, 919.03.M.7(b),"additional sq. ft. proposed (total 1,115 sq. ft)","Decision: The Applicant's request for dimensional variances from Code Sections 919.03.M.7(b)to allow for signage in excess of 200 sf in a DR District is hereby APPROVED, subjectto the conditions that the area of the signage shall not exceed 50 sf for each of thetwo concession tenant spaces identified and the signs shall not be lit when thebusinesses are not in operation.5",False
100 Art Rooney Ave - 079-18.pdf,"April 5, 2018","July 12, 2018",79 of 2018,10 0 Art Rooney Ave,Review, 919.03.M.7(b),For placing signs in line with building columns,"Decision: The Applicant's request for dimensional variances from Code Sections 919.03.M.7(b)to allow for signage in excess of 200 sf in a DR District is hereby APPROVED, subjectto the conditions that the area of the signage shall not exceed 50 sf for each of thetwo concession tenant spaces identified and the signs shall not be lit when thebusinesses are not in operation.5",False
100 Art Rooney Ave - 225 of 2022.pdf,"October 20, 2022 (Virtual Hearing)","December 2, 2022",225 of 2022,100 Art Rooney Avenue,Variance, Section 919.03.M.7(c),"Maximum four high wall signs per building, a total of six high wall signs proposed","Decision: The Applicant’s request for a variance from Section 919.03.M.7(c) to allow forthe installation of two additional high wall signs on the existing stadiumstructure is hereby APPROVED, subject to the condition that no additionalhighwall signage shall be permitted for any façade of the stadium.",False
100 Art Rooney Ave - 68 of 2025.pdf,"June 5, 2025","July 18, 2025",68 of 2025,100 Art Rooney Avenue,Special Exception, Section 919.03.P,Major Public Destination Facility Electronic Sign,"Decision: The Applicant’s request for a special exception pursuant to Section 919.03.P toinstall a 1,117 sf major public destination electronic sign is hereby APPROVED,subject to these conditions:• Displays on the sign shall be limited to those described inSection 919.03.P.4;• In accordance with Section 919.03.P.4.a, products or services ofsponsors shall not be displayed on the electronic sign;• No additional electronic signs shall be permitted on the majorpublic destination facility;• The electronic sign shall comply with the motion, dwell time andbrightness requirements described in Section 919.03.P.6, 7 and8 and the annual reporting of compliance requirement in Section919.03.P.10; and• The electronic sign shall not be used for a “video display,” asdefined in the Code.",False
100 Art Rooney Ave - 7-M-76 - 119 of 2022.pdf,"June 9, 2022 (Virtual Hearing)","July 28, 2022",119 of 2022,100 Art Rooney Avenue,Variance, Section 919.03.M.7 (b),"Maximum 200 sf of sign area allowed for the building façade, proposed total is 1,435 sf","Decision: The Applicant’s request for variances from Code Sections 919.03.M.7(b) toinstall an additional 166 sf of signage on the eastern façade, increasing thetotal area of signage on the façade to 1,435 sf, for the purpose of identifyingthe entrance to a new use within the stadium, is hereby APPROVED.",False
100 ART ROONEY AVE - 7-M-76 - ZBA CASE 014-20.pdf,"January 16, 2020","February 28, 2020",- 14 of 2020,,None found,None found,None found,"Decision: The Applicant’s request for variance approval from Section 919.03.M.7(e) to allow theRevised Sign 3 to extend 3’3” above the canopy of the store is APPROVED. The’ Applicant’s request for a special exception pursuant to Section 919.03.P for Sign 5 isApproved subject to the following conditions:e ‘The existing 164.77 sf LED sign, as described and permitted with SignPermit No. 09-05964 must be removed before Sign 5 is installed; and« Continued compliance with the specific requirements of Section919.03.P, as certified annually, in accordance with Section919.03.P.) 0(c). .Lat Kice B. Mitinger,S paso oowok y LaShawn trton-Faulk",True
100 ART ROONEY AVE - 7-M-76 - ZBA CASE 213-19.pdf,"October 10, 2019","December 5, 2019",213 of 2019,100 Art Rooney Avenue,Special,,Special Exception for major public destination facility electronic,"Decision: The Applicant’s request for variances to allow 5 new signs is APPROVED in part andDENIED in part, as follows, and subject to the removal of 78 sf of existing signage,as proposed:e Signs 1 and 2: The request for variances from Section 919.03.M.7.b isAPPROVED.e Sign 3: The request for a variance from Section 919.03.M.7.e to allow Sign 3to extend 4’-10” above the canopy is DENIED, without prejudice to submit arevised design forthe Board’s consideration.e Sign 4: The request for a variance from Section 919.03.M.7.e to allow Sign 4to extend 1’-9” above the canopy is APPROVED.® Sign 5: The request for a special exception and variance from Section919.03.P/919.03.P.5.e is DENIED.",True
100 ART ROONEY DR  65-15.pdf,"March 19, 2015","April 24, 2015",65 of 2015,100 Art Rooney Drive,Variance, 919.03.M.7(b),"mum of two (3) percent of exposed building facade or a maxi hundred (200) square feet per fagade, whichever is smaller.","Decision: The Applicant’s request for dimensional variances from Code Sections919.03.M.7(b) to allow for signage in excess of 200 square feet in a RD District ishereby APPROVED.ichardson' The Board notes that the proposed signage would occupy roughly one percent of the total face area of the south facadeof Heinz Field. Although the three percent of exposed building facade standard under 919.03M.7(b) is not the operativestandard here (because 200 square feet is smaller), and the Board does not base this decision upon that standard, thisfact indicates that the size of the Applicant's proposed signage is not unreasonable given the context, the scale of thebuilding, and the need for visibility so as to efficiently move patrons in and out of the facility.",True
100 Art Rooney Dr ZBA case 65 of 2015.pdf,,,,,Variance, 919.03.M.7(b),"ng fagade or a maximum of two (3) percent of exposed buildi hundred (200) square feet per fagade, whichever is smaller.","Decision: The Applicant’s request for dimensional variances from Code Sections919.03.M.7(b) to allow for signage in excess of 200 square feet in a RD District ishereby APPROVED.‘ The Board notes that the proposed signage would occupy roughly one percent of the total face area of the south facadeof Heinz Field. Although the three percent of exposed building facade standard under 919.03M.7(b) is not the operativestandard here (because 200 square feet is smaller), and the Board does not base this decision upon that standard, thisfact indicates that the size of the Applicant's proposed signage is not unreasonable given the context, the scale of thebuilding, and the need for visibility so as to efficiently move patrons in and out of the facility.",True
100 BOGGS AVE - 027-16.pdf,"February 11, 2016","March 17, 2016",27 of 2016,100 Boggs Ave,Variance = |, 904.02.C.3,Maximum FAR 2:1 permitted and 2.87:1 requested,"Decision: The Applicants’ request for dimensional variances from Code Section 904.02.C.3 ishereby APPROVED, subject to the condition that the Applicant must obtain allnecessary approvals for the proposed parking area, garage and curb cuts.L awn B -F,",True
100 FEDERAL ST - 159-17.pdf,"April 27, 2017","June 15, 2017",159 of 2017,100 Federal Street,Variance, 919.03.M.7(c),ft.,"Decision: The Applicant’s request for variances. from Code Sections 919.03.M.7(c) and919.03.M.7(e) is hereby APPROVED, subject to the condition that no additionalsignage shall be permitted on the building. .aShawn Burton-Faulk",True
100 FEDERAL ST - 159-17.pdf,"April 27, 2017","June 15, 2017",159 of 2017,100 Federal Street,Variance, 919.03.M.7(c),requested,"Decision: The Applicant’s request for variances. from Code Sections 919.03.M.7(c) and919.03.M.7(e) is hereby APPROVED, subject to the condition that no additionalsignage shall be permitted on the building. .aShawn Burton-Faulk",True
100 FEDERAL ST - 159-17.pdf,"April 27, 2017","June 15, 2017",159 of 2017,100 Federal Street,Variance,| 919.03.M.7(e),Maximum 8” in height permitted and 10 %” requested,"Decision: The Applicant’s request for variances. from Code Sections 919.03.M.7(c) and919.03.M.7(e) is hereby APPROVED, subject to the condition that no additionalsignage shall be permitted on the building. .aShawn Burton-Faulk",True
100 FORBES AVE  19-15.pdf,"February 12, 2015","March 26, 2015",19 of 2015,100 Forbes Avenue,Variance, 919.03.0.3,district,"Decision: The Applicant's request for dimensional variances from Code Sections:919.03.M.7(e) to allow for the “RITE AID” and “Pharmacy” signs to project morethan 6” from above the canopy and to have a face that exceeds 8” in height in a GT-Ais hereby APPROVED. The Applicant’s request for a use variance from CodeSection 919.03.0.3 to allow for an electronic non-advertising sign in a GT-A Districtis DENIED._ Alice B. Mitinger, ChairfeMetoure pri trra—LaShawn Burton-Faulk John J. Richardsoncor",True
100 Forbes Ave - 1-C-228 - Case 238 of 2020.pdf,"January 14, 2021 (Virtual Hearing)","February 19, 2021",238 of 2020,100 Forbes Avenue,Variance, Section 919.03.M.7(e),"8’’ maximum letter height, 2’ 11’’ requested","Decision: The Applicant’s request for a variance from Code Section 919.03.M.7.e ishereby APPROVED, subject to the conditions that no additional signage for thetenant space is permitted.",False
100 Forbes Ave - 1-C-228 - Case 238 of 2020.pdf,"January 14, 2021 (Virtual Hearing)","February 19, 2021",238 of 2020,100 Forbes Avenue,Variance, Section 919.03.M.7(e),Sign shall not project above the canopy,"Decision: The Applicant’s request for a variance from Code Section 919.03.M.7.e ishereby APPROVED, subject to the conditions that no additional signage for thetenant space is permitted.",False
100 JACKSONIA ST  113-14.pdf,"May 8, 2014","June 19, 2014",113 of 2014,100 Jacksonia Street,Variance, 903.03.E.2,Minimum 5 ft interior side setback required and 0 ft requested,Decision: The Applicant’s request for variances from Code Section 903.03.E.2 is herebyAPPROVED.Jofin ichardson,True
100 S COMMONS DR - 171-17.pdf,"April 27, 2017","June 8, 2017",171 of 2017,100 S Commons Drive,Variance, 919.03.M.5(a),Maximum height above grade 20ft permitted and 31’ 9 %,Decision: The Applicant’s request for a variances from Code Sections 919.03.M.5(a) and919.01.E.6 is hereby APPROVED.,True
100 S COMMONS DR - 171-17.pdf,"April 27, 2017","June 8, 2017",171 of 2017,100 S Commons Drive,Variance, 919.03.M.5(a),requested,Decision: The Applicant’s request for a variances from Code Sections 919.03.M.5(a) and919.01.E.6 is hereby APPROVED.,True
100 S COMMONS DR - 171-17.pdf,"April 27, 2017","June 8, 2017",171 of 2017,100 S Commons Drive,Variance,| 919.01.E.6,Sign above roof line or parapet wall prohibited,Decision: The Applicant’s request for a variances from Code Sections 919.03.M.5(a) and919.01.E.6 is hereby APPROVED.,True
100 S Commons St - 8-C-236 - Case 146 of 2022.pdf,"August 4, 2022 (Virtual Hearing)","August 31, 2022",146 of 2022,100 S Commons Street,Variance, Section 919.03.M.5,40’ maximum height; 45’ (E Commons) and 67’ (S Commons) requested,Decision: The Applicant’s request for variances from Section 919.03.M.5 to install a 64 sfwall sign 65’ from grade on the S Commons Street façade is herebyAPPROVED; and the request for variances from 919.03.M.5 to install a 174 sfwall sign 45’ from grade on the E Commons Street façade is hereby DENIED.,False
100 S Commons St - 8-C-236 - Case 146 of 2022.pdf,"August 4, 2022 (Virtual Hearing)","August 31, 2022",146 of 2022,100 S Commons Street,Variance, Section 919.03.M.5,80 sf maximum wall sign area; 174 sf (E Commons) requested,Decision: The Applicant’s request for variances from Section 919.03.M.5 to install a 64 sfwall sign 65’ from grade on the S Commons Street façade is herebyAPPROVED; and the request for variances from 919.03.M.5 to install a 174 sfwall sign 45’ from grade on the E Commons Street façade is hereby DENIED.,False
100 S Commons St - 8-C-236 - Case 146 of 2022.pdf,"August 4, 2022 (Virtual Hearing)","August 31, 2022",146 of 2022,100 S Commons Street,Variance, Section 919.03.M.5,Tenant signage shall be located within the façade area of the tenant; signage outside of tenant façade area proposed (E Commons and S Commons),Decision: The Applicant’s request for variances from Section 919.03.M.5 to install a 64 sfwall sign 65’ from grade on the S Commons Street façade is herebyAPPROVED; and the request for variances from 919.03.M.5 to install a 174 sfwall sign 45’ from grade on the E Commons Street façade is hereby DENIED.,False
100 S Commons St - 8-C-238 - 284 of 2022.pdf,"February 2, 2023 (Virtual Hearing)","March 19, 2023",284 of 2022,100 S. Commons Street,Variance, Section 919.03.M.5(a),"40’ maximum wall sign height, sign mounted 50’ from grade requested","Decision: The Applicant’s request for a variance from Section 919.03.M.5(a) to allow forthe installation of a wall sign that complies with the Code’s area limitations, ata height 50’ from grade is hereby APPROVED.RecusedAlice B. Mitinger, Chair",False
100 South Commons Street - 189 of 2023.pdf,"January 4, 2024 (Virtual Hearing)","January 18, 2024",189 of 2023,100 South Commons Street,Variance, Section 919.03.O.3,Electronic non-advertising signs are prohibited in UNC District,"Decision: The Applicant’s request for a variance from Section 919.03.O.3 to allow two16.5 sf electronic display signs is hereby APPROVED, subject to the conditionthat the signs are to be used for parking pricing information only and are tootherwise remain static.",False
100 Stanwix Street - 1-G-193 - Case 21 of 2021.pdf,"February 18, 2021 (Virtual Hearing)","March 19, 2021",21 of 2021,100 Stanwix Street,Variance, Section 919.03.M.7.(a)(iii),Tenant sign shall be located within the tenant area,"Decision: For the foregoing reasons, the Applicant’s request for approval of theproposed electronic non-advertising sign is DENIED.",False
100 Stanwix Street - 1-G-193 - Case 21 of 2021.pdf,"February 18, 2021 (Virtual Hearing)","March 19, 2021",21 of 2021,100 Stanwix Street,Variance,Section 919.03.O.3,Electronic non-advertising signs are not permitted in the GT-C District,"Decision: For the foregoing reasons, the Applicant’s request for approval of theproposed electronic non-advertising sign is DENIED.",False
100 Stanwix Street - 1-G-193 - Case 21 of 2021.pdf,"February 18, 2021 (Virtual Hearing)","March 19, 2021",21 of 2021,100 Stanwix Street,Variance,Section 919.03.O.3(d),The changeable copy of the sign shall not exceed 50% of sign face area; 100% sign’s face area changeable copy proposed,"Decision: For the foregoing reasons, the Applicant’s request for approval of theproposed electronic non-advertising sign is DENIED.",False
1000 - CALIFORNIA AVE - 0022-G-00142-  -00 - ZBA CASE 274-18.pdf,"November 29, 2018","January 10, 2019",274 of 2018,1000 California Avenue,Variance, 919.03.G,requested,Decision: The Applicant’s request for a variance from Code Section 919.03.G is herebyAPPROVED.,True
